Cum GPA,TEAS Count,MaxOfTestScore,failing grade count,Time to Test (days),Completion Time (days),PrecEducDesc,Grade,GradePass,HighSchool,Assoc,Bach,Masters
3.32,1.0,78.7,0,403.34,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.76,1.0,68.7,0,67.59,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.92,1.0,78.7,1,403.51,578.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.02,1.0,68.7,0,52.32,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.72,1.0,69.3,1,465.48,578.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.1,1.0,69.3,0,117.0,460.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.19,1.0,70.0,0,54.57,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.95,1.0,80.7,1,124.5,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.97,1.0,82.7,0,40.31,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.16,1.0,87.3,0,46.33,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.39,1.0,89.3,0,83.53,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.0,2.0,68.7,0,49.56,599.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.7,2.0,77.1,0,153.33,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.91,2.0,75.3,0,81.42,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.0,2.0,77.3,0,45.32,599.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.12,1.0,79.3,0,60.59,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.79,1.0,78.7,0,125.41,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.66,1.0,92.7,0,32.52,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.34,2.0,78.0,0,42.33,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.86,1.0,72.7,0,97.35,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.65,1.0,72.0,1,239.45,578.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.72,1.0,82.0,0,116.53,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.02,1.0,68.7,0,68.51,725.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.4,1.0,79.3,0,55.34,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.78,1.0,75.3,0,333.35,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.59,1.0,79.3,0,63.55,473.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.97,2.0,68.0,0,353.0,717.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.81,1.0,70.7,0,53.33,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.95,1.0,78.7,0,76.34,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.29,1.0,84.7,0,80.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.72,1.0,74.0,0,328.35,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.46,1.0,78.0,0,46.33,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.47,1.0,84.0,0,48.58,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.19,1.0,92.7,0,138.32,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.97,1.0,84.0,0,272.34,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.78,1.0,89.3,0,329.34,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.34,1.0,70.0,0,69.34,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.21,3.0,67.3,0,49.45,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.68,1.0,69.3,0,179.59,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.52,1.0,70.0,0,63.4,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.03,1.0,89.3,0,54.34,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.09,2.0,64.0,1,88.57,704.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.38,1.0,80.0,0,77.33,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.75,1.0,66.0,1,271.0,704.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.76,1.0,69.3,1,116.56,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.66,1.0,68.7,0,75.34,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.88,1.0,75.3,0,74.33,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.88,1.0,68.7,0,116.34,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.1,1.0,70.0,0,49.34,466.0,Associates,Pass,1.0,0.0,1.0,0.0,0.0
3.02,1.0,80.0,0,189.0,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.36,1.0,76.7,0,56.45,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.76,3.0,90.0,2,286.32,711.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.21,1.0,68.7,0,132.34,466.0,Bachelors,Fail,0.0,0.0,0.0,1.0,0.0
2.9,1.0,75.3,0,87.33,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
