ID,Cum GPA,TEAS Count,MaxOfTestScore,PrecEducDesc,failing grade count,DateStart,GradDate,Test Delivery Date,Time to Test (days),Completion Time (days),Grade,Qtr,Year
1121,3.05,1,68.7,High School/GED/Some College,0,1/7/2019,8/29/2020,11/25/2020,88.53,600.00,Pass,2020-4,2020
1122,3.2,1,70,High School/GED/Some College,0,9/10/2018,4/25/2020,7/29/2020,95.00,593.00,Pass,2020-3,2020
1123,3.2,1,76.7,High School/GED/Some College,0,9/10/2018,4/25/2020,9/24/2020,152.00,593.00,Pass,2020-3,2020
1124,3.34,1,76.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/5/2020,46.00,467.00,Pass,2020-1,2020
1125,3.2,1,79.3,High School/GED/Some College,0,5/14/2018,8/17/2019,10/7/2019,51.56,460.00,Fail,2019-4,2019
1126,3.47,1,89.3,High School/GED/Some College,0,5/14/2018,8/17/2019,10/16/2019,60.00,460.00,Pass,2019-4,2019
1127,2.64,1,72.7,Associates,1,1/7/2019,8/29/2020,12/10/2020,103.00,600.00,Pass,2020-4,2020
1128,2.65,1,68,High School/GED/Some College,0,1/7/2019,4/25/2020,7/17/2020,83.00,474.00,Fail,2020-3,2020
1129,2.97,1,79.3,High School/GED/Some College,0,1/7/2019,4/25/2020,8/6/2020,103.00,474.00,Pass,2020-3,2020
1130,3.02,1,73.3,High School/GED/Some College,0,9/10/2018,12/21/2019,5/6/2020,137.00,467.00,Pass,2020-2,2020
1131,3.26,1,82.7,High School/GED/Some College,0,9/10/2018,12/21/2019,3/28/2020,98.00,467.00,Pass,2020-1,2020
1132,3.09,1,71.3,High School/GED/Some College,0,9/10/2018,12/21/2019,3/10/2020,80.00,467.00,Pass,2020-1,2020
1133,2.86,1,72,Bachelors,0,1/7/2019,8/29/2020,11/25/2020,88.00,600.00,Pass,2020-4,2020
1134,3.02,2,82.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/11/2020,52.00,467.00,Pass,2020-1,2020
1135,3.03,1,86,High School/GED/Some College,0,9/10/2018,12/21/2019,5/9/2020,140.00,467.00,Pass,2020-2,2020
1136,3.65,1,82.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/8/2020,49.33,467.00,Pass,2020-1,2020
1137,2.62,1,84,High School/GED/Some College,1,9/10/2018,4/25/2020,7/15/2020,81.00,593.00,Pass,2020-3,2020
1138,3.33,3,79.3,Associates,0,5/6/2019,8/29/2020,11/12/2020,75.00,481.00,Pass,2020-4,2020
1139,2.6,6,67.3,High School/GED/Some College,0,1/7/2019,8/29/2020,11/17/2020,80.00,600.00,Pass,2020-4,2020
1140,3.03,1,72.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/25/2020,66.00,467.00,Pass,2020-1,2020
1141,2.62,1,73.3,Bachelors,0,9/10/2018,12/21/2019,7/16/2020,208.00,467.00,Fail,2020-3,2020
1142,3.83,1,89.3,High School/GED/Some College,0,9/10/2018,4/25/2020,8/10/2020,107.00,593.00,Pass,2020-3,2020
1143,3.1,2,69.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/16/2020,82.00,474.00,Pass,2020-3,2020
1144,3.91,,,High School/GED/Some College,0,1/7/2019,4/25/2020,7/8/2020,74.00,474.00,Pass,2020-3,2020
1145,3.52,1,81.3,High School/GED/Some College,0,9/10/2018,12/21/2019,8/5/2020,228.00,467.00,Pass,2020-3,2020
1146,3.33,1,74.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/6/2020,47.00,467.00,Pass,2020-1,2020
1147,2.6,1,77.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/31/2020,97.00,474.00,Fail,2020-3,2020
1148,2.62,,,High School/GED/Some College,2,9/10/2018,8/29/2020,11/25/2020,88.00,719.00,Pass,2020-4,2020
1149,3.02,1,69.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/22/2020,88.00,593.00,Pass,2020-3,2020
1150,2.55,1,81.3,High School/GED/Some College,1,9/10/2018,4/25/2020,12/11/2020,230.53,593.00,Pass,2020-4,2020
1151,2.62,1,82.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/27/2020,68.00,467.00,Pass,2020-1,2020
1152,2.81,2,70,High School/GED/Some College,0,9/10/2018,12/21/2019,4/3/2020,104.00,467.00,Pass,2020-2,2020
1153,3.22,1,79.3,High School/GED/Some College,0,9/10/2018,4/25/2020,8/26/2020,123.00,593.00,Pass,2020-3,2020
1154,2.83,1,75.3,Associates,0,1/7/2019,8/29/2020,12/1/2020,94.00,600.00,Pass,2020-4,2020
1155,2.55,,,Bachelors,2,9/10/2018,8/29/2020,11/23/2020,86.32,719.00,Fail,2020-4,2020
1156,3.83,1,86,Bachelors,0,5/14/2018,8/17/2019,10/1/2019,45.00,460.00,Pass,2019-4,2019
1157,2.33,1,74,High School/GED/Some College,0,9/10/2018,12/21/2019,5/15/2020,146.00,467.00,Pass,2020-2,2020
1158,3.47,1,91.3,Bachelors,0,9/10/2018,12/21/2019,2/18/2020,59.08,467.00,Pass,2020-1,2020
1159,2.86,2,68,Associates,1,1/7/2019,8/29/2020,10/16/2020,48.00,600.00,Fail,2020-4,2020
